MAYAPURI CHOWK,NARAINA VILLAGE,2
NARAINA VILLAGE,BARAR SQUARE,2
BARAR SQUARE,RR LINES,2
RR LINES,DHAULA KUAN ,2
DHAULA KUAN ,MOTI BAGH,2
MOTI BAGH,NAUROJI Nagar,2
NAUROJI Nagar,AIIMS,2
AIIMS,ANDREWS GANJ,2
ANDREWS GANJ,LAJ PAT NAGAR,2
LAJ PAT NAGAR,MAHARANI BAGH ,2
MAHARANI BAGH ,TOLL BRIDGE CORNER ,2
TOLL BRIDGE CORNER ,YAMUNA BRIDGE WEST,2
YAMUNA BRIDGE WEST, DND TOLL BRIDGE PLAZA (BDR.),2
 DND TOLL BRIDGE PLAZA (BDR.),BHEL SECTORTOR-16A,1
BHEL SECTORTOR-16A,RAJNI GANDHA CHOWK,1
RAJNI GANDHA CHOWK,HAROLA VILL. / SECTOR-27,1
HAROLA VILL. / SECTOR-27,TELEPHONE EXCHANGE SECTOR-19,1
TELEPHONE EXCHANGE SECTOR-19,NOIDA SECTOR.-10/21,1
NOIDA SECTOR.-10/21,CHORA MORE SECTOR-12,1
CHORA MORE SECTOR-12,SHIV MANDIR SECTOR-22,1
SHIV MANDIR SECTOR-22,NOIDA SECTOR-23 CHOWK,1
NOIDA SECTOR-23 CHOWK,KANCHANCHANGA Appartments,1
KANCHANCHANGA Appartments,U-FLEX / ROYAL TOWER,1
U-FLEX / ROYAL TOWER,MAMURA CORNER WEST,1
MAMURA CORNER WEST,RO Appartments,1
RO Appartments,NEELKANTH Appartments,1
NEELKANTH Appartments,NOIDA SECTOR-62 (ELECTRONIC CITY),1